School,Number_of_Games,Total_Attendance,Average_Attendance,ID
Air Force,6,"240,560","40,093",
Akron,6,"61,108","10,185",
Alabama,7,"712,747","101,821",
Arizona,7,"387,857","55,408",
Arizona St.,6,"287,657","47,943",
Arkansas,6,"413,591","68,932",
Arkansas St.,5,"86,969","17,394",
Army,5,"158,334","31,667",
Auburn,8,"688,692","86,087",
Ball St.,6,"53,683","8,947",
Baylor,6,"240,259","40,043",
Boise St.,6,"199,611","33,269",
Boston College,7,"268,585","38,369",
Bowling Green,5,"66,532","13,306",
Buffalo,6,"77,883","12,981",
BYU,6,"368,283","61,381",
California,7,"405,112","57,873",
Central Mich.,5,"102,238","20,448",
Cincinnati,7,"245,472","35,067",
Clemson,7,"542,280","77,469",
Colorado,6,"281,182","46,864",
Colorado St.,5,"111,998","22,400",
Connecticut,6,"229,488","38,248",
Duke,7,"201,248","28,750",
East Carolina,6,"297,987","49,665",
Eastern Mich.,5,"79,426","15,885",
FIU,6,"118,848","19,808",
Fla. Atlantic,4,"56,098","14,025",
Florida,7,"633,579","90,511",
Florida St.,7,"498,890","71,270",
Fresno St.,7,"238,841","34,120",
Georgia,6,"556,476","92,746",
Georgia Tech.,6,"278,696","46,449",
Hawaii,8,"298,486","37,311",
Houston,6,"190,366","31,728",
Idaho,6,"76,379","12,730",
Illinois,6,"325,126","54,188",
Indiana,6,"251,718","41,953",
Iowa,7,"494,095","70,585",
Iowa St.,7,"317,767","45,395",
Kansas,7,"313,955","44,851",
Kansas St.,6,"298,897","49,816",
Kent St.,6,"96,911","16,152",
Kentucky,7,"462,488","66,070",
La.-Lafayette,5,"86,915","17,383",
La.-Monroe,6,"125,603","20,934",
Louisiana Tech,6,"116,908","19,485",
Louisville,7,"354,537","50,648",
LSU,7,"649,023","92,718",
Marshall,6,"162,276","27,046",
Maryland,6,"235,007","39,168",
Memphis,6,"143,509","23,918",
Miami (FL),6,"315,452","52,575",
Miami (OH),5,"77,593","15,519",
Michigan,7,"782,776","111,825",
Michigan St.,7,"514,894","73,556",
Middle Tenn.,6,"114,143","19,024",
Minnesota,7,"346,593","49,513",
Mississippi,7,"391,289","55,898",
Mississippi St.,7,"384,995","54,999",
Missouri,6,"369,240","61,540",
Navy,5,"163,266","32,653",
Nebraska,7,"599,648","85,664",
Nevada,7,"137,032","19,576",
New Mexico,6,"125,330","20,888",
New Mexico St.,6,"95,433","15,906",
North Carolina,6,"349,500","58,250",
North Carolina St.,6,"341,261","56,877",
North Texas,6,"106,306","17,718",
Northern Ill.,5,"88,801","17,760",
Northwestern,6,"218,696","36,449",
Notre Dame,7,"565,565","80,795",
Ohio,6,"114,277","19,046",
Ohio St.,8,"842,221","105,278",
Oklahoma,6,"508,426","84,738",
Oklahoma St.,7,"355,684","50,812",
Oregon,6,"356,387","59,398",
Oregon St.,6,"273,054","45,509",
Penn St.,7,"729,636","104,234",
Pittsburgh,6,"312,991","52,165",
Purdue,7,"336,443","48,063",
Rice,7,"178,994","25,571",
Rutgers,7,"323,368","46,195",
San Diego St.,7,"238,930","34,133",
San Jose St.,6,"86,842","14,474",
SMU,7,"164,602","23,515",
South Carolina,7,"536,675","76,668",
South Fla.,7,"285,946","40,849",
Southern California,6,"479,444","79,907",
Southern Miss.,6,"176,400","29,400",
Stanford,6,"240,254","40,042",
Syracuse,6,"240,385","40,064",
TCU,6,"254,797","42,466",
Temple,6,"123,088","20,515",
Tennessee,7,"698,465","99,781",
Texas,7,"704,580","100,654",
Texas A&M,7,"577,338","82,477",
Texas Tech,6,"342,647","57,108",
Toledo,6,"116,000","19,333",
Troy,5,"94,736","18,947",
Tulane,7,"162,543","23,220",
Tulsa,6,"122,272","20,379",
UAB,6,"110,162","18,360",
UCF,7,"277,301","39,614",
UCLA,6,"362,253","60,376",
UNLV,6,"123,672","20,612",
Utah,6,"272,754","45,459",
Utah St.,6,"107,265","17,878",
UTEP,6,"176,097","29,350",
Vanderbilt,7,"232,885","33,269",
Virginia,7,"318,212","45,459",
Virginia Tech,7,"463,631","66,233",
Wake Forest,6,"182,843","30,474",
Washington,6,"397,581","66,264",
Washington St.,6,"147,194","24,532",
West Virginia,7,"394,274","56,325",
Western Ky.,5,"72,884","14,577",
Western Mich.,6,"85,528","14,255",
Wisconsin,7,"559,035","79,862",
Wyoming,6,"124,747","20,791",
