Rank,School,Team,Attendance,Average,G
15,Arizona,M,261478,14526,18
12,Arkansas,M,267825,14879,18
14,BYU,M,264588,14699,18
10,Creighton,M,302887,15943,19
7,Indiana,M,290809,17108,17
19,Iowa,M,207528,13835,15
16,Iowa St.,M,228326,14270,16
9,Kansas,M,279412,16438,17
1,Kentucky,M,397148,23363,17
3,Louisville,M,396333,20861,19
5,Maryland,M,303676,17865,17
13,Michigan St.,M,236752,14797,16
11,Nebraska,M,277739,15429,18
4,North Carolina,M,293219,18328,16
8,North Carolina St.,M,301646,16760,18
20,Purdue,M,245916,13662,18
2,Syracuse,M,367068,21594,17
17,Tennessee,M,227725,14232,16
40,UConn,M,177027,10413,17
18,Virginia,M,211671,14111,15
6,Wisconsin,M,311166,17289,18
9,Baylor,W,125666,6285,20
13,Gonzaga,W,99577,5241,19
20,Iowa,W,75013,4688,16
3,Iowa St.,W,147493,9835,15
8,Kentucky,W,116164,6456,18
4,Louisville,W,152049,9505,16
40,LSU,W,37152,2858,13
15,Maryland,W,94113,5229,18
7,Michigan St.,W,98418,6563,15
17,Middle Tenn.,W,70649,5046,14
16,Mississippi St.,W,92914,5162,18
12,Nebraska,W,102682,5404,19
11,New Mexico,W,93683,5511,17
6,Notre Dame,W,134991,8439,16
14,Ohio St.,W,89066,5239,17
19,Oklahoma,W,66769,4769,14
10,Purdue,W,100047,6255,16
1,South Carolina,W,244196,14366,17
2,Tennessee,W,177004,10414,17
18,Texas A&M,W,82734,4867,17
5,UConn,W,133806,8922,15
